Country,Year,GDPPC,LifeExpectancy,Population,Region
Lao,1834,896,31.9,517587,NA
Latvia,1834,842,33,648400,Europe & Central Asia
Lebanon,1834,1210,29.7,357145,Middle East & North Africa
Lesotho,1834,401,32.8,298233,Sub-Saharan Africa
Liberia,1834,830,31.1,340777,Sub-Saharan Africa
Libya,1834,1250,33.1,565776,Middle East & North Africa
Liechtenstein,1834,NA,NA,6205,Europe & Central Asia
Lithuania,1834,1424,28.9,854817,Europe & Central Asia
Luxembourg,1834,1719,36.9,135676,Europe & Central Asia
"Macao, China",1834,1044,34.7,27437,East Asia & Pacific
"Macedonia, FYR",1834,776,36.1,428506,Europe & Central Asia
Madagascar,1834,615,30.5,1803292,Sub-Saharan Africa
Malawi,1834,352,30.3,737000,Sub-Saharan Africa
Malaysia,1834,1029,30.6,354816,East Asia & Pacific
Maldives,1834,844,32.647,44948,South Asia
Mali,1834,607,26.408,1540940,Sub-Saharan Africa
Malta,1834,891,28.7,143183,Europe & Central Asia
Marshall Islands,1834,550,NA,6203,East Asia & Pacific
Martinique,1834,NA,30.153,90652,America
Mauritania,1834,566,32,399076,Sub-Saharan Africa
Mauritius,1834,1009,32.6722676727173,119544,Sub-Saharan Africa
Mayotte,1834,NA,32.5,8618,Sub-Saharan Africa
Mexico,1834,1341,26.9,6930661,America
"Micronesia, Fed. Sts.",1834,529,26.7,17289,East Asia & Pacific
Moldova,1834,672,33.145,782030,Europe & Central Asia
Monaco,1834,2354,NA,8383,Europe & Central Asia
Mongolia,1834,608,31.8,628530,East Asia & Pacific
Montenegro,1834,1189,35.4,138454,Europe & Central Asia
Montserrat,1834,NA,NA,5782,America
Morocco,1834,735,33.1,2880355,Middle East & North Africa
Mozambique,1834,398,30.2775466666667,2288209,Sub-Saharan Africa
Myanmar,1834,844,30.8,3643584,East Asia & Pacific
Namibia,1834,668,32.4,229000,Sub-Saharan Africa
Nauru,1834,594,NA,1903,East Asia & Pacific
Nepal,1834,657,32.8,4033123,South Asia
Netherlands,1834,4261,39.86,2619333,Europe & Central Asia
New Caledonia,1834,NA,26,31296,East Asia & Pacific
New Zealand,1834,662,34.05,91723,East Asia & Pacific
Nicaragua,1834,1132,25.4,258484,America
Niger,1834,479,30.8,1312557,Sub-Saharan Africa
Nigeria,1834,940,30.4,12633330,Sub-Saharan Africa
Niue,1834,NA,NA,4511,East Asia & Pacific
Northern Mariana Islands,1834,NA,NA,3557,East Asia & Pacific
Norway,1834,1528,41.9475969242824,1115667,Europe & Central Asia
Oman,1834,973,32.3,327296,Middle East & North Africa
Pakistan,1834,1021,25.8,14110059,South Asia
Palau,1834,882,NA,4076,East Asia & Pacific
Panama,1834,995,32.9,94879,America
Papua New Guinea,1834,575,31.5,804416,East Asia & Pacific
