Country,Year,GDPPC,LifeExpectancy,Population,Region
"Macedonia, FYR",1898,1426,36.1,731284,Europe & Central Asia
Madagascar,1898,837,30.5,2705491,Sub-Saharan Africa
Malawi,1898,355,30.3,755700,Sub-Saharan Africa
Malaysia,1898,1266,30.6,1589037,East Asia & Pacific
Maldives,1898,838,32.647,61033,South Asia
Mali,1898,620,26.408,2695216,Sub-Saharan Africa
Malta,1898,1602,40.99,211471,Europe & Central Asia
Marshall Islands,1898,572,NA,8960,East Asia & Pacific
Martinique,1898,NA,30.153,141727,America
Mauritania,1898,771,32,511712,Sub-Saharan Africa
Mauritius,1898,1374,30.4481925574173,368896,Sub-Saharan Africa
Mayotte,1898,NA,32.5,11343,Sub-Saharan Africa
Mexico,1898,2326,27.03,11868744,America
"Micronesia, Fed. Sts.",1898,550,26.7,23340,East Asia & Pacific
Moldova,1898,1166,33.145,1350371,Europe & Central Asia
Monaco,1898,4951,NA,12982,Europe & Central Asia
Mongolia,1898,677,31.8,691803,East Asia & Pacific
Montenegro,1898,2185,35.4,233519,Europe & Central Asia
Montserrat,1898,NA,NA,11478,America
Morocco,1898,821,33.1,4349836,Middle East & North Africa
Mozambique,1898,413,30.2766933333335,3787673,Sub-Saharan Africa
Myanmar,1898,1145,30.8,7618454,East Asia & Pacific
Namibia,1898,1735,32.4,231395,Sub-Saharan Africa
Nauru,1898,809,NA,2355,East Asia & Pacific
Nepal,1898,810,32.8,5256924,South Asia
Netherlands,1898,6227,49.03,4529873,Europe & Central Asia
New Caledonia,1898,NA,26,45164,East Asia & Pacific
New Zealand,1898,6656,46.5458974358975,669985,East Asia & Pacific
Nicaragua,1898,2234,25.4,505573,America
Niger,1898,652,30.8,1831048,Sub-Saharan Africa
Nigeria,1898,1258,30.4,16380516,Sub-Saharan Africa
Niue,1898,NA,NA,4563,East Asia & Pacific
Northern Mariana Islands,1898,NA,NA,4982,East Asia & Pacific
Norway,1898,3566,53.96,2003954,Europe & Central Asia
Oman,1898,1416,32.3,399816,Middle East & North Africa
Pakistan,1898,1218,22.8,17873100,South Asia
Palau,1898,1096,NA,5504,East Asia & Pacific
Panama,1898,2046,32.9,230232,America
Papua New Guinea,1898,714,31.5,1170606,East Asia & Pacific
Paraguay,1898,2222,35.5,424496,America
Peru,1898,1675,35.7,3337979,America
Philippines,1898,1114,30.9,5668348,East Asia & Pacific
Poland,1898,2492,39.8282608695652,22618933,Europe & Central Asia
Portugal,1898,2249,35.6,5029810,Europe & Central Asia
Puerto Rico,1898,2105,31.865,839355,America
Qatar,1898,2138,30.8,15478,Middle East & North Africa
Reunion,1898,NA,33,156428,Sub-Saharan Africa
Romania,1898,2411,35.7,10334053,Europe & Central Asia
Russia,1898,2972,27.9349122795669,59151534,Europe & Central Asia
Rwanda,1898,488,27,1471766,Sub-Saharan Africa
St. Helena,1898,NA,NA,4048,NA
St. Kitts and Nevis,1898,1975,NA,29274,NA
St. Lucia,1898,1133,28.008,42333,NA
St. Vincent and the Grenadines,1898,1421,25.986,41629,NA
St.-Pierre-et-Miquelon,1898,NA,NA,2961,NA
Samoa,1898,1829,25.4,35495,East Asia & Pacific
San Marino,1898,2189,NA,8649,Europe & Central Asia
Sao Tome and Principe,1898,1020,31,38513,Sub-Saharan Africa
Saudi Arabia,1898,977,32.1,2480109,Middle East & North Africa
Senegal,1898,727,25.2,1635693,Sub-Saharan Africa
Serbia,1898,2806,35.5,3968679,Europe & Central Asia
Seychelles,1898,1167,44.3479,16151,Sub-Saharan Africa
Sierra Leone,1898,1073,25.1,1286792,Sub-Saharan Africa
Singapore,1898,2482,34,157724,East Asia & Pacific
Slovak Republic,1898,2867,37.3,2755048,Europe & Central Asia
Slovenia,1898,2911,36.6,869595,Europe & Central Asia
Solomon Islands,1898,479,25.1,70661,East Asia & Pacific
Somalia,1898,762,29.4,1548224,Sub-Saharan Africa
South Africa,1898,4429,33.5,3845849,Sub-Saharan Africa
Spain,1898,2653,34.125,17783792,Europe & Central Asia
Sri Lanka,1898,1935,32.6,3387731,South Asia
Sudan,1898,757,31.4,4860252,Sub-Saharan Africa
Suriname,1898,2775,32.9,136074,America
Swaziland,1898,715,32.3,87183,Sub-Saharan Africa
Sweden,1898,3391,54.69,4780109,Europe & Central Asia
Switzerland,1898,9295,48.2,2972442,Europe & Central Asia
Syria,1898,1494,31.1,1758556,Middle East & North Africa
Tajikistan,1898,1068,26.4683333333333,881646,Europe & Central Asia
Tanzania,1898,695,32.2,3842790,Sub-Saharan Africa
Thailand,1898,1332,30.4,6782133,East Asia & Pacific
Timor-Leste,1898,632,28.949,296381,East Asia & Pacific
Togo,1898,997,31.3,822418,Sub-Saharan Africa
Tokelau,1898,NA,NA,438,East Asia & Pacific
Tonga,1898,866,28.2,19633,East Asia & Pacific
Trinidad and Tobago,1898,1883,38.8,210414,America
Tunisia,1898,1043,28.8,1478214,Middle East & North Africa
Turkey,1898,1954,35,13188522,Europe & Central Asia
Turkmenistan,1898,1960,24.6893333333333,697742,Europe & Central Asia
Turks and Caicos Islands,1898,825,NA,4738,America
Tuvalu,1898,939,NA,3692,East Asia & Pacific
Uganda,1898,678,25.3,2646689,Sub-Saharan Africa
Ukraine,1898,1586,36.6,21405530,Europe & Central Asia
United Arab Emirates,1898,1944,30.7,45189,Middle East & North Africa
United Kingdom,1898,7909,46.98,34215580,Europe & Central Asia
United States,1898,6299,48.1845454545455,63810074,America
Uruguay,1898,5901,32.9,682156,America
Uzbekistan,1898,790,29.1593333333333,3853133,Europe & Central Asia
Wallis et Futuna,1898,NA,NA,5223,East Asia & Pacific
Vanuatu,1898,765,24.3,37016,East Asia & Pacific
Venezuela,1898,1320,32.2,2339881,America
West Bank and Gaza,1898,1328,32.1,253607,Middle East & North Africa
Western Sahara,1898,NA,34.753,6398,Middle East & North Africa
Vietnam,1898,1062,32,12934886,East Asia & Pacific
Virgin Islands (U.S.),1898,NA,33.403,32805,America
Yemen,1898,1157,23.387,3070113,NA
Zambia,1898,841,32.6,743210,Sub-Saharan Africa
Zimbabwe,1898,978,33.7,1781947,Sub-Saharan Africa
South Sudan,1898,741,26.665,1756589,Sub-Saharan Africa
Afghanistan,1899,790,27.1965799999999,4710171,South Asia
Albania,1899,1141,35.4,741688,Europe & Central Asia
Algeria,1899,1731,28.8224,4525691,Middle East & North Africa
American Samoa,1899,NA,NA,6139,East Asia & Pacific
Andorra,1899,3158,NA,4131,Europe & Central Asia
Angola,1899,954,26.98,2677047,Sub-Saharan Africa
Anguilla,1899,NA,NA,3320,America
Antigua and Barbuda,1899,1292,33.536,36286,America
Argentina,1899,7040,36.1,3402273,America
Armenia,1899,908,36.0616666666667,781218,Europe & Central Asia
Aruba,1899,1422,34.419,27817,America
Australia,1899,6398,49.3972549019608,3088808,East Asia & Pacific
Austria,1899,5699,41.06,5408503,Europe & Central Asia
Azerbaijan,1899,1557,31.2316666666667,1667011,Europe & Central Asia
Bahamas,1899,2467,35.179,47817,America
Bahrain,1899,2669,30.3,72045,Middle East & North Africa
Bangladesh,1899,962,21.818181815,27615079,South Asia
Barbados,1899,1560,32.124,181966,America
Belarus,1899,1257,36.2,4484175,Europe & Central Asia
Belgium,1899,6825,46.49,6125406,Europe & Central Asia
Belize,1899,988,26.5,30754,America
Benin,1899,876,31,1260608,Sub-Saharan Africa
Bermuda,1899,2096,NA,15068,America
Bhutan,1899,737,28.799,129082,South Asia
Bolivia,1899,1809,33,1718906,America
Bosnia and Herzegovina,1899,1068,35.1,1569427,Europe & Central Asia
Botswana,1899,583,33.6,122200,Sub-Saharan Africa
Brazil,1899,1248,31.9808600000001,14410738,America
British Virgin Islands,1899,NA,NA,4779,America
Brunei,1899,1982,29.2,11271,East Asia & Pacific
Bulgaria,1899,2028,40.1559999999997,3453830,Europe & Central Asia
Burkina Faso,1899,526,29.2,2769399,Sub-Saharan Africa
Burundi,1899,458,31.5,1485986,Sub-Saharan Africa
Cambodia,1899,1018,35,2678588,East Asia & Pacific
Cameroon,1899,919,28.75,2291482,Sub-Saharan Africa
Canada,1899,4664,47.942416,4908078,America
Cape Verde,1899,743,33.8,103928,Sub-Saharan Africa
Cayman Islands,1899,1774,NA,4303,America
Central African Republic,1899,623,30,672749,NA
Chad,1899,614,30.9,1463486,Sub-Saharan Africa
Channel Islands,1899,NA,NA,69222,Europe & Central Asia
Chile,1899,3421,32,2623814,America
China,1899,882,32,377135349,East Asia & Pacific
Colombia,1899,1184,32,3432631,America
Comoros,1899,770,32.1,97281,Sub-Saharan Africa
"Congo, Dem. Rep.",1899,729,31.6,8176082,Sub-Saharan Africa
"Congo, Rep.",1899,760,32.7,521378,Sub-Saharan Africa
Cook Is,1899,NA,NA,10090,NA
Costa Rica,1899,1879,34.2909090909091,227054,America
Cote d'Ivoire,1899,1207,31.156,1742785,Sub-Saharan Africa
Croatia,1899,2802,36.1,2273902,Europe & Central Asia
Cuba,1899,2724,18.9,1658274,America
Cyprus,1899,2177,41.1072,207321,Europe & Central Asia
Czech Republic,1899,3904,39.3884666666667,7132039,NA
Denmark,1899,5439,50.71,2291557,Europe & Central Asia
Djibouti,1899,1029,29.9,38998,Middle East & North Africa
Dominica,1899,1132,NA,27386,America
Dominican Republic,1899,1027,29.9,407957,NA
Ecuador,1899,879,32.9,1291183,America
Egypt,1899,1281,33,8912535,Middle East & North Africa
El Salvador,1899,1896,28.7,662195,America
Equatorial Guinea,1899,405,29.8,101679,Sub-Saharan Africa
Eritrea,1899,653,30.2,516854,Sub-Saharan Africa
Estonia,1899,2068,43.1015007036511,634935,Europe & Central Asia
Ethiopia,1899,539,29.7,7832385,Sub-Saharan Africa
Faeroe Islands,1899,NA,NA,21393,Europe & Central Asia
Falkland Is (Malvinas),1899,NA,NA,352,NA
Fiji,1899,1029,26.1,122056,East Asia & Pacific
Finland,1899,2686,44.4,2358344,Europe & Central Asia
France,1899,4261,45.23,40015501,Europe & Central Asia
French Guiana,1899,NA,30.5,16402,America
French Polynesia,1899,NA,25.6,34531,East Asia & Pacific
Gabon,1899,396,30.6,286111,Sub-Saharan Africa
Gambia,1899,863,28.8,173847,Sub-Saharan Africa
Georgia,1899,1026,33.9376666666667,2033664,Europe & Central Asia
Germany,1899,4473,43.608,48211294,Europe & Central Asia
Ghana,1899,742,28,1781078,Sub-Saharan Africa
Gibraltar,1899,NA,NA,14629,Europe & Central Asia
Greece,1899,2986,39.8,4441125,Europe & Central Asia
Greenland,1899,915,35.9497112213109,15319,Europe & Central Asia
Grenada,1899,1344,37.3,51785,America
Guadeloupe,1899,NA,27.655,134914,America
Guam,1899,NA,27.5,12695,East Asia & Pacific
Guatemala,1899,1634,25.8158400000001,1284688,America
Guinea,1899,531,30.5241379310344,1821769,Sub-Saharan Africa
Guinea-Bissau,1899,831,32,353821,Sub-Saharan Africa
Guyana,1899,2073,31.12,267135,America
Haiti,1899,1419,29,1419252,America
Holy See,1899,NA,NA,909,Europe & Central Asia
Honduras,1899,1854,33.9,469600,America
"Hong Kong, China",1899,1732,34.9,218690,East Asia & Pacific
Hungary,1899,2825,37.202328,6631452,Europe & Central Asia
Iceland,1899,2266,49.79,96517,Europe & Central Asia
India,1899,1156,23.35,232819584,South Asia
Indonesia,1899,1175,30,33747355,East Asia & Pacific
Iran,1899,1313,25.6,9418782,Middle East & North Africa
Iraq,1899,1498,31.2,1992559,Middle East & North Africa
Ireland,1899,3977,48.8714285714285,3349404,Europe & Central Asia
Isle of Man,1899,NA,NA,37318,Europe & Central Asia
Israel,1899,1045,32,316448,Middle East & North Africa
Italy,1899,3448,43.67,31665125,Europe & Central Asia
Jamaica,1899,989,37.6,637199,America
Japan,1899,1786,38.499568,39878734,East Asia & Pacific
Jordan,1899,1508,31.7,294766,Middle East & North Africa
Kazakhstan,1899,2514,28.2666666666667,3865983,Europe & Central Asia
Kenya,1899,1163,25.5,2618210,Sub-Saharan Africa
Kiribati,1899,601,24.9,25323,East Asia & Pacific
North Korea,1899,523,26,4959044,NA
South Korea,1899,521,25.8,9856047,NA
Kuwait,1899,2169,26,89663,Middle East & North Africa
Kyrgyz Republic,1899,1019,26.0076666666667,1005105,NA
Lao,1899,1047,31.9,998964,NA
Latvia,1899,1656,45.8914285714286,1125139,Europe & Central Asia
Lebanon,1899,2067,29.7,525702,Middle East & North Africa
Lesotho,1899,416,32.8,467118,Sub-Saharan Africa
Liberia,1899,988,31.1,563168,Sub-Saharan Africa
Libya,1899,2772,33.1,800283,Middle East & North Africa
Liechtenstein,1899,NA,NA,9225,Europe & Central Asia
Lithuania,1899,2801,41.2733333333334,1483375,Europe & Central Asia
Luxembourg,1899,3707,46.9690909090909,200461,Europe & Central Asia
"Macao, China",1899,1301,34.7,67860,East Asia & Pacific
"Macedonia, FYR",1899,1436,36.1,731284,Europe & Central Asia
Madagascar,1899,841,30.5,2705491,Sub-Saharan Africa
Malawi,1899,355,30.3,755700,Sub-Saharan Africa
Malaysia,1899,1272,30.6,1589037,East Asia & Pacific
Maldives,1899,838,32.647,61033,South Asia
Mali,1899,621,26.408,2695216,Sub-Saharan Africa
Malta,1899,1616,41.4626923076923,211471,Europe & Central Asia
Marshall Islands,1899,573,NA,8960,East Asia & Pacific
Martinique,1899,NA,30.153,141727,America
Mauritania,1899,775,32,511712,Sub-Saharan Africa
Mauritius,1899,1380,27.2492673544853,368896,Sub-Saharan Africa
Mayotte,1899,NA,32.5,11343,Sub-Saharan Africa
Mexico,1899,2179,24.98,11868744,America
"Micronesia, Fed. Sts.",1899,551,26.7,23340,East Asia & Pacific
Moldova,1899,1236,33.145,1350371,Europe & Central Asia
Monaco,1899,5009,NA,12982,Europe & Central Asia
Mongolia,1899,678,31.8,691803,East Asia & Pacific
Montenegro,1899,2200,35.4,233519,Europe & Central Asia
Montserrat,1899,NA,NA,11478,America
Morocco,1899,823,33.1,4349836,Middle East & North Africa
Mozambique,1899,414,30.2766800000002,3787673,Sub-Saharan Africa
Myanmar,1899,1158,30.8,7618454,East Asia & Pacific
Namibia,1899,1761,32.4,231395,Sub-Saharan Africa
Nauru,1899,813,NA,2355,East Asia & Pacific
Nepal,1899,816,32.8,5256924,South Asia
Netherlands,1899,6224,49.35,4529873,Europe & Central Asia
New Caledonia,1899,NA,26,45164,East Asia & Pacific
New Zealand,1899,6751,46.9921794871796,669985,East Asia & Pacific
Nicaragua,1899,2258,25.4,505573,America
Niger,1899,655,30.8,1831048,Sub-Saharan Africa
Nigeria,1899,1264,30.4,16380516,Sub-Saharan Africa
Niue,1899,NA,NA,4563,East Asia & Pacific
Northern Mariana Islands,1899,NA,NA,4982,East Asia & Pacific
Norway,1899,3633,51.62,2003954,Europe & Central Asia
Oman,1899,1427,32.3,399816,Middle East & North Africa
Pakistan,1899,1121,22.6,17873100,South Asia
Palau,1899,1100,NA,5504,East Asia & Pacific
Panama,1899,2069,32.9,230232,America
Papua New Guinea,1899,716,31.5,1170606,East Asia & Pacific
Paraguay,1899,2250,35.5,424496,America
Peru,1899,1746,35.7,3337979,America
Philippines,1899,1117,30.9,5668348,East Asia & Pacific
Poland,1899,2537,40.1304347826086,22618933,Europe & Central Asia
Portugal,1899,2313,35.6,5029810,Europe & Central Asia
Puerto Rico,1899,2117,32.22375,839355,America
Qatar,1899,2169,30.8,15478,Middle East & North Africa
Reunion,1899,NA,33,156428,Sub-Saharan Africa
Romania,1899,2442,35.7,10334053,Europe & Central Asia
Russia,1899,3154,31.5911570974969,59151534,Europe & Central Asia
Rwanda,1899,489,26,1471766,Sub-Saharan Africa
St. Helena,1899,NA,NA,4048,NA
St. Kitts and Nevis,1899,1988,NA,29274,NA
St. Lucia,1899,1137,28.008,42333,NA
St. Vincent and the Grenadines,1899,1431,25.986,41629,NA
St.-Pierre-et-Miquelon,1899,NA,NA,2961,NA
Samoa,1899,1836,25.4,35495,East Asia & Pacific
San Marino,1899,2206,NA,8649,Europe & Central Asia
Sao Tome and Principe,1899,1021,31,38513,Sub-Saharan Africa
Saudi Arabia,1899,980,32.1,2480109,Middle East & North Africa
Senegal,1899,730,25.2,1635693,Sub-Saharan Africa
Serbia,1899,2826,35.5,3968679,Europe & Central Asia
Seychelles,1899,1172,44.610325,16151,Sub-Saharan Africa
Sierra Leone,1899,1078,25.1,1286792,Sub-Saharan Africa
Singapore,1899,2552,34,157724,East Asia & Pacific
Slovak Republic,1899,2908,37.6,2755048,Europe & Central Asia
Slovenia,1899,2931,36.6,869595,Europe & Central Asia
Solomon Islands,1899,481,25.1,70661,East Asia & Pacific
Somalia,1899,763,29.4,1548224,Sub-Saharan Africa
South Africa,1899,3936,33.5,3845849,Sub-Saharan Africa
Spain,1899,2684,34.4625,17783792,Europe & Central Asia
Sri Lanka,1899,2045,32.6,3387731,South Asia
Sudan,1899,761,31.4,4860252,Sub-Saharan Africa
Suriname,1899,2794,32.9,136074,America
Swaziland,1899,719,32.3,87183,Sub-Saharan Africa
Sweden,1899,3475,50.95,4780109,Europe & Central Asia
Switzerland,1899,9643,49.29,2972442,Europe & Central Asia
Syria,1899,1508,31.1,1758556,Middle East & North Africa
Tajikistan,1899,1132,26.3016666666667,881646,Europe & Central Asia
Tanzania,1899,697,32.2,3842790,Sub-Saharan Africa
Thailand,1899,1336,30.4,6782133,East Asia & Pacific
Timor-Leste,1899,633,28.949,296381,East Asia & Pacific
Togo,1899,1002,31.3,822418,Sub-Saharan Africa
Tokelau,1899,NA,NA,438,East Asia & Pacific
Tonga,1899,869,28.2,19633,East Asia & Pacific
Trinidad and Tobago,1899,1893,38.8,210414,America
Tunisia,1899,1048,28.8,1478214,Middle East & North Africa
Turkey,1899,1970,35,13188522,Europe & Central Asia
Turkmenistan,1899,2080,24.5226666666667,697742,Europe & Central Asia
Turks and Caicos Islands,1899,831,NA,4738,America
Tuvalu,1899,942,NA,3692,East Asia & Pacific
Uganda,1899,681,25.3,2646689,Sub-Saharan Africa
Ukraine,1899,1683,36.6,21405530,Europe & Central Asia
United Arab Emirates,1899,1972,30.7,45189,Middle East & North Africa
United Kingdom,1899,8113,46.13,34215580,Europe & Central Asia
United States,1899,6752,48.5563636363637,63810074,America
Uruguay,1899,5930,32.9,682156,America
Uzbekistan,1899,837,28.9926666666667,3853133,Europe & Central Asia
Wallis et Futuna,1899,NA,NA,5223,East Asia & Pacific
Vanuatu,1899,768,24.3,37016,East Asia & Pacific
Venezuela,1899,1296,32.2,2339881,America
West Bank and Gaza,1899,1331,32.1,253607,Middle East & North Africa
Western Sahara,1899,NA,34.753,6398,Middle East & North Africa
Vietnam,1899,1071,32,12934886,East Asia & Pacific
Virgin Islands (U.S.),1899,NA,33.403,32805,America
Yemen,1899,1160,23.387,3070113,NA
Zambia,1899,843,32.6,743210,Sub-Saharan Africa
Zimbabwe,1899,979,33.7,1781947,Sub-Saharan Africa
South Sudan,1899,745,26.665,1756589,Sub-Saharan Africa
Afghanistan,1900,793,27.1863333333333,5021241,South Asia
Albania,1900,1157,35.4,819950,Europe & Central Asia
Algeria,1900,1750,28.8626666666667,4946166,Middle East & North Africa
American Samoa,1900,NA,NA,5949,East Asia & Pacific
Andorra,1900,3195,NA,4393,Europe & Central Asia
Angola,1900,958,26.98,2898155,Sub-Saharan Africa
Anguilla,1900,NA,NA,3561,America
Antigua and Barbuda,1900,1301,33.536,34925,America
Argentina,1900,6002,36.8,4756635,America
Armenia,1900,886,35.895,855313,Europe & Central Asia
Aruba,1900,1431,34.419,29311,America
Australia,1900,6688,49.9264705882353,3743708,East Asia & Pacific
Austria,1900,5704,41.53,5979725,Europe & Central Asia
Azerbaijan,1900,1522,31.065,1825639,Europe & Central Asia
Bahamas,1900,2484,35.179,53102,America
Bahrain,1900,2700,30.3,76158,Middle East & North Africa
Bangladesh,1900,995,21.77272727,29230699,South Asia
Barbados,1900,1570,32.124,191121,America
Belarus,1900,1229,36.2,4917314,Europe & Central Asia
Belgium,1900,6967,46.59,6761724,Europe & Central Asia
Belize,1900,995,26.5,36114,America
Benin,1900,880,31,1390018,Sub-Saharan Africa
Bermuda,1900,2110,NA,17497,America
Bhutan,1900,739,28.799,136235,South Asia
Bolivia,1900,1826,33,1826432,America
Bosnia and Herzegovina,1900,1072,35.1,1712007,Europe & Central Asia
Botswana,1900,586,33.6,122551,Sub-Saharan Africa
Brazil,1900,1201,31.9806666666668,18103489,America
British Virgin Islands,1900,NA,NA,4934,America
Brunei,1900,1989,29.2,15507,East Asia & Pacific
Bulgaria,1900,2044,40.2,3992259,Europe & Central Asia
Burkina Faso,1900,526,29.2,2977810,Sub-Saharan Africa
Burundi,1900,459,31.5,1589452,Sub-Saharan Africa
Cambodia,1900,1020,35,2859326,East Asia & Pacific
Cameroon,1900,924,28.75,2360984,Sub-Saharan Africa
Canada,1900,4858,48.288448,5530806,America
Cape Verde,1900,746,33.8,113570,Sub-Saharan Africa
Cayman Islands,1900,1786,NA,4867,America
Central African Republic,1900,626,30,706436,NA
Chad,1900,617,30.9,1471357,Sub-Saharan Africa
Channel Islands,1900,NA,NA,73870,Europe & Central Asia
Chile,1900,3295,32,2981489,America
China,1900,894,32,395184556,East Asia & Pacific
Colombia,1900,1187,32,4109030,America
Comoros,1900,770,32.1,105128,Sub-Saharan Africa
"Congo, Dem. Rep.",1900,732,31.6,8727834,Sub-Saharan Africa
"Congo, Rep.",1900,763,32.7,560251,Sub-Saharan Africa
Cook Is,1900,NA,NA,8841,NA
Costa Rica,1900,1900,34.7,297910,America
Cote d'Ivoire,1900,1212,31.156,1863006,Sub-Saharan Africa
Croatia,1900,2821,36.1,2483124,Europe & Central Asia
Cuba,1900,2756,33.11248,1762227,America
Cyprus,1900,2203,41.756,235257,Europe & Central Asia
Czech Republic,1900,3959,40.26616,7399101,NA
Denmark,1900,5566,51.95,2557581,Europe & Central Asia
Djibouti,1900,1032,29.9,42078,Middle East & North Africa
Dominica,1900,1140,NA,29067,America
Dominican Republic,1900,1032,29.9,529755,NA
Ecuador,1900,885,32.9,1455093,America
Egypt,1900,1295,33,10065298,Middle East & North Africa
El Salvador,1900,1912,28.7,774733,America
Equatorial Guinea,1900,406,29.8,105183,Sub-Saharan Africa
Eritrea,1900,654,30.2,589732,Sub-Saharan Africa
Estonia,1900,2024,43.1522510554767,695838,Europe & Central Asia
Ethiopia,1900,539,29.7,8993179,Sub-Saharan Africa
Faeroe Islands,1900,NA,NA,22843,Europe & Central Asia
Falkland Is (Malvinas),1900,NA,NA,482,NA
Fiji,1900,1033,26.1,121907,East Asia & Pacific
Finland,1900,2789,41.8,2633389,Europe & Central Asia
France,1900,4314,45.08,40628638,Europe & Central Asia
French Guiana,1900,NA,30.5,17620,America
French Polynesia,1900,NA,25.6,30686,East Asia & Pacific
Gabon,1900,396,30.6,311589,Sub-Saharan Africa
Gambia,1900,864,28.8,187273,Sub-Saharan Africa
Georgia,1900,1003,33.771,2227930,Europe & Central Asia
Germany,1900,4596,43.915,55293434,Europe & Central Asia
Ghana,1900,725,28,1891249,Sub-Saharan Africa
Gibraltar,1900,NA,NA,15474,Europe & Central Asia
Greece,1900,3028,40,4882706,Europe & Central Asia
Greenland,1900,925,36.5049748723303,16375,Europe & Central Asia
Grenada,1900,1350,37.3,61605,America
Guadeloupe,1900,NA,27.655,145156,America
Guam,1900,NA,27.5,10583,East Asia & Pacific
Guatemala,1900,1648,25.8160000000001,1401387,America
Guinea,1900,532,30.5344827586206,1988972,Sub-Saharan Africa
Guinea-Bissau,1900,832,32,379807,Sub-Saharan Africa
Guyana,1900,2087,31.12,285691,America
Haiti,1900,1434,29,1584083,America
Holy See,1900,NA,NA,910,Europe & Central Asia
Honduras,1900,1878,33.9,515578,America
"Hong Kong, China",1900,1758,34.9,310113,East Asia & Pacific
Hungary,1900,2863,37.33592,7115393,Europe & Central Asia
Iceland,1900,2352,46.64,102913,Europe & Central Asia
India,1900,1194,18.35,243073946,South Asia
Indonesia,1900,1198,30,38159334,East Asia & Pacific
Iran,1900,1322,25.6,9993084,Middle East & North Africa
Iraq,1900,1510,31.2,2238359,Middle East & North Africa
Ireland,1900,4018,49.1357142857142,3163836,Europe & Central Asia
Isle of Man,1900,NA,NA,39863,Europe & Central Asia
Israel,1900,1051,32,359084,Middle East & North Africa
Italy,1900,3528,41.66,33736335,Europe & Central Asia
Jamaica,1900,992,37.8,719180,America
Japan,1900,1840,38.6,44040263,East Asia & Pacific
Jordan,1900,1520,31.7,311990,Middle East & North Africa
Kazakhstan,1900,2461,28.1,4234119,Europe & Central Asia
Kenya,1900,1167,25.5,2629262,Sub-Saharan Africa
Kiribati,1900,602,24.9,26948,East Asia & Pacific
North Korea,1900,523,26,5124044,NA
South Korea,1900,520,25.8,9926633,NA
Kuwait,1900,2201,26,94474,Middle East & North Africa
Kyrgyz Republic,1900,1028,25.841,1101060,NA
Lao,1900,1049,31.9,1149619,NA
Latvia,1900,1621,46.2037714285714,1233746,Europe & Central Asia
Lebanon,1900,2088,29.7,558481,Middle East & North Africa
Lesotho,1900,416,32.8,503398,Sub-Saharan Africa
Liberia,1900,991,31.1,612987,Sub-Saharan Africa
Libya,1900,2806,33.1,851032,Middle East & North Africa
Liechtenstein,1900,NA,NA,9855,Europe & Central Asia
Lithuania,1900,2741,41.7,1626629,Europe & Central Asia
Luxembourg,1900,3751,47.4725454545454,213965,Europe & Central Asia
"Macao, China",1900,1305,34.7,65138,East Asia & Pacific
"Macedonia, FYR",1900,1446,36.1,800063,Europe & Central Asia
Madagascar,1900,845,30.5,2894356,Sub-Saharan Africa
Malawi,1900,355,30.3,780171,Sub-Saharan Africa
Malaysia,1900,1278,30.6,2204405,East Asia & Pacific
Maldives,1900,838,32.647,63982,South Asia
Mali,1900,621,26.408,2961059,Sub-Saharan Africa
Malta,1900,1631,41.9353846153846,225706,Europe & Central Asia
Marshall Islands,1900,573,NA,9525,East Asia & Pacific
Martinique,1900,NA,30.153,152696,America
Mauritania,1900,778,32,533349,Sub-Saharan Africa
Mauritius,1900,1387,26.2857412580308,370835,Sub-Saharan Africa
Mayotte,1900,NA,32.5,11868,Sub-Saharan Africa
Mexico,1900,2164,27.58,13662640,America
"Micronesia, Fed. Sts.",1900,551,26.7,24523,East Asia & Pacific
Moldova,1900,1209,33.145,1479152,Europe & Central Asia
Monaco,1900,5067,NA,13968,Europe & Central Asia
Mongolia,1900,680,31.8,704557,East Asia & Pacific
Montenegro,1900,2216,35.4,254700,Europe & Central Asia
Montserrat,1900,NA,NA,11844,America
Morocco,1900,824,33.1,4667602,Middle East & North Africa
Mozambique,1900,414,30.2766666666668,4115592,Sub-Saharan Africa
Myanmar,1900,1170,30.8,10178295,East Asia & Pacific
Namibia,1900,1788,32.4,231994,Sub-Saharan Africa
Nauru,1900,817,NA,2439,East Asia & Pacific
Nepal,1900,822,32.8,5419483,South Asia
Netherlands,1900,6063,48.4,5153030,Europe & Central Asia
New Caledonia,1900,NA,26,48027,East Asia & Pacific
New Zealand,1900,7181,47.4384615384616,815519,East Asia & Pacific
Nicaragua,1900,2282,25.4,571352,America
Niger,1900,658,30.8,1938530,Sub-Saharan Africa
Nigeria,1900,1269,30.4,17111076,Sub-Saharan Africa
Niue,1900,NA,NA,4579,East Asia & Pacific
Northern Mariana Islands,1900,NA,NA,5269,East Asia & Pacific
Norway,1900,3643,53.47,2214923,Europe & Central Asia
Oman,1900,1439,32.3,417606,Middle East & North Africa
Pakistan,1900,1159,21.0638338594945,18819218,South Asia
Palau,1900,1104,NA,5787,East Asia & Pacific
Panama,1900,2093,32.9,266472,America
Papua New Guinea,1900,719,31.5,1246120,East Asia & Pacific
Paraguay,1900,2278,35.5,457181,America
Peru,1900,1816,35.7,3680342,America
Philippines,1900,1119,30.9,6480589,East Asia & Pacific
Poland,1900,2583,40.4326086956521,24700965,Europe & Central Asia
Portugal,1900,2412,35.6,5426480,Europe & Central Asia
